intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",83.7996457729
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",70.0165290676
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",76.0068990394
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",79.1577719105
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",89.6285610661
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",79.6489867556
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",73.5653790521
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",75.1446926441
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",64.2357562264
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",63.5088543113
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",69.353016721
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",61.5621006438
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",81.9522647144
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",90.9415874872
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",79.2151968339
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",94.6768805746
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",90.5241795719
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",79.6459946321
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",73.7429111021
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",109.177818903
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",88.0114911612
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",71.5212154585
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",83.0057570998
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",51.427987166
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",80.8190485477
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",70.3112078119
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",86.4219878124
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",74.236684288
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",54.2007740607
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",124.311269009
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",66.4031214195
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",62.5935456175
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",76.5557070583
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",71.6410808012
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",72.9369229629
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",80.3077934343
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",84.2287324999
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",111.114735593
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",78.3763514982
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",84.2563975918
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",83.0581920398
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",69.6412546486
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",80.8365070097
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",114.62670027
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",170.815970205
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",191.020430167
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",141.173654075
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",147.146667711
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",165.415307145
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",140.303685557
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",173.802139258
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",221.041230088
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",247.259039423
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",118.785359687
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",122.718535265
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",128.702434589
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",139.303818656
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",141.23946288
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",155.994059968
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",150.878460314
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",167.477462119
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",173.523285012
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",137.889894029
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",140.449042096
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",141.647002321
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",113.516969219
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",126.253983342
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",230.655696251
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",173.000830197
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",279.398627318
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",125.951818182
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",569.513826437
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",118.982025818
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",110.089450518
A,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",112.544952961
A,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",126.211259814
A,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",122.55494748
A,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",118.639985923
A,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",245.679150795
A,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",350.897006765
A,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",208.369239774
A,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",186.963888299
A,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",250.255982128
A,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",142.641272727
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",95.248
B,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",115.211428571
B,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",102.286428571
B,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",135.043888889
B,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",105.415333333
B,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",113.531333333
B,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",126.428571429
B,1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",96.78
B,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",121.636111111
B,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",109.1075
B,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",120.614666667
B,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",126.006666667
B,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",107.238909091
B,1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",114.69
B,1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",112.319047619
B,1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",114.278545455
B,1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",102.990444444
B,1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",115.834545455
B,1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",144.500555556
B,1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",126.134285714
B,1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",105.675555556
B,1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",116.901666667
B,1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",78.7866666667
B,1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",115.136190476
