intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"""[2016-10-11 08:00:00,2016-10-11 08:20:00)""",80.9187272727
A,2,"""[2016-10-11 08:20:00,2016-10-11 08:40:00)""",76.7630909091
A,2,"""[2016-10-11 08:40:00,2016-10-11 09:00:00)""",65.4327272727
A,2,"""[2016-10-11 09:00:00,2016-10-11 09:20:00)""",78.3234545455
A,2,"""[2016-10-11 09:20:00,2016-10-11 09:40:00)""",74.9896363636
A,2,"""[2016-10-11 09:40:00,2016-10-11 10:00:00)""",71.9847272727
A,2,"""[2016-10-12 08:00:00,2016-10-12 08:20:00)""",73.7727272727
A,2,"""[2016-10-12 08:20:00,2016-10-12 08:40:00)""",101.832181818
A,2,"""[2016-10-12 08:40:00,2016-10-12 09:00:00)""",84.9689090909
A,2,"""[2016-10-12 09:00:00,2016-10-12 09:20:00)""",71.0538181818
A,2,"""[2016-10-12 09:20:00,2016-10-12 09:40:00)""",72.5485454545
A,2,"""[2016-10-12 09:40:00,2016-10-12 10:00:00)""",66.4416363636
A,2,"""[2016-10-13 08:00:00,2016-10-13 08:20:00)""",74.0592727273
A,2,"""[2016-10-13 08:20:00,2016-10-13 08:40:00)""",93.7349090909
A,2,"""[2016-10-13 08:40:00,2016-10-13 09:00:00)""",82.7023636364
A,2,"""[2016-10-13 09:00:00,2016-10-13 09:20:00)""",87.4354545455
A,2,"""[2016-10-13 09:20:00,2016-10-13 09:40:00)""",83.2183636364
A,2,"""[2016-10-13 09:40:00,2016-10-13 10:00:00)""",71.1023636364
A,2,"""[2016-10-14 08:00:00,2016-10-14 08:20:00)""",69.0190909091
A,2,"""[2016-10-14 08:20:00,2016-10-14 08:40:00)""",79.3456363636
A,2,"""[2016-10-14 08:40:00,2016-10-14 09:00:00)""",78.1038181818
A,2,"""[2016-10-14 09:00:00,2016-10-14 09:20:00)""",69.3207272727
A,2,"""[2016-10-14 09:20:00,2016-10-14 09:40:00)""",80.6336363636
A,2,"""[2016-10-14 09:40:00,2016-10-14 10:00:00)""",65.7963636364
A,2,"""[2016-10-15 08:00:00,2016-10-15 08:20:00)""",67.0569090909
A,2,"""[2016-10-15 08:20:00,2016-10-15 08:40:00)""",77.6247272727
A,2,"""[2016-10-15 08:40:00,2016-10-15 09:00:00)""",91.1461818182
A,2,"""[2016-10-15 09:00:00,2016-10-15 09:20:00)""",90.4854545455
A,2,"""[2016-10-15 09:20:00,2016-10-15 09:40:00)""",95.2154545455
A,2,"""[2016-10-15 09:40:00,2016-10-15 10:00:00)""",91.9474545455
A,2,"""[2016-10-16 08:00:00,2016-10-16 08:20:00)""",67.5090909091
A,2,"""[2016-10-16 08:20:00,2016-10-16 08:40:00)""",65.3261818182
A,2,"""[2016-10-16 08:40:00,2016-10-16 09:00:00)""",69.498
A,2,"""[2016-10-16 09:00:00,2016-10-16 09:20:00)""",67.0307272727
A,2,"""[2016-10-16 09:20:00,2016-10-16 09:40:00)""",73.7390909091
A,2,"""[2016-10-16 09:40:00,2016-10-16 10:00:00)""",72.4614545455
A,2,"""[2016-10-17 08:00:00,2016-10-17 08:20:00)""",98.2087272727
A,2,"""[2016-10-17 08:20:00,2016-10-17 08:40:00)""",105.454181818
A,2,"""[2016-10-17 08:40:00,2016-10-17 09:00:00)""",93.1145454545
A,2,"""[2016-10-17 09:00:00,2016-10-17 09:20:00)""",75.1307272727
A,2,"""[2016-10-17 09:20:00,2016-10-17 09:40:00)""",71.084
A,2,"""[2016-10-17 09:40:00,2016-10-17 10:00:00)""",80.2847272727
A,3,"""[2016-10-11 08:00:00,2016-10-11 08:20:00)""",127.428
A,3,"""[2016-10-11 08:20:00,2016-10-11 08:40:00)""",141.465636364
A,3,"""[2016-10-11 08:40:00,2016-10-11 09:00:00)""",150.707454545
A,3,"""[2016-10-11 09:00:00,2016-10-11 09:20:00)""",184.539636364
A,3,"""[2016-10-11 09:20:00,2016-10-11 09:40:00)""",151.167818182
A,3,"""[2016-10-11 09:40:00,2016-10-11 10:00:00)""",135.440727273
A,3,"""[2016-10-12 08:00:00,2016-10-12 08:20:00)""",146.269454545
A,3,"""[2016-10-12 08:20:00,2016-10-12 08:40:00)""",138.954363636
A,3,"""[2016-10-12 08:40:00,2016-10-12 09:00:00)""",157.912
A,3,"""[2016-10-12 09:00:00,2016-10-12 09:20:00)""",178.203818182
A,3,"""[2016-10-12 09:20:00,2016-10-12 09:40:00)""",186.918363636
A,3,"""[2016-10-12 09:40:00,2016-10-12 10:00:00)""",118.004181818
A,3,"""[2016-10-13 08:00:00,2016-10-13 08:20:00)""",144.487272727
A,3,"""[2016-10-13 08:20:00,2016-10-13 08:40:00)""",143.916909091
A,3,"""[2016-10-13 08:40:00,2016-10-13 09:00:00)""",154.708181818
A,3,"""[2016-10-13 09:00:00,2016-10-13 09:20:00)""",162.665454545
A,3,"""[2016-10-13 09:20:00,2016-10-13 09:40:00)""",159.695090909
A,3,"""[2016-10-13 09:40:00,2016-10-13 10:00:00)""",138.285818182
A,3,"""[2016-10-14 08:00:00,2016-10-14 08:20:00)""",138.327818182
A,3,"""[2016-10-14 08:20:00,2016-10-14 08:40:00)""",141.965272727
A,3,"""[2016-10-14 08:40:00,2016-10-14 09:00:00)""",174.960727273
A,3,"""[2016-10-14 09:00:00,2016-10-14 09:20:00)""",163.713636364
A,3,"""[2016-10-14 09:20:00,2016-10-14 09:40:00)""",141.391454545
A,3,"""[2016-10-14 09:40:00,2016-10-14 10:00:00)""",116.728545455
A,3,"""[2016-10-15 08:00:00,2016-10-15 08:20:00)""",115.842181818
A,3,"""[2016-10-15 08:20:00,2016-10-15 08:40:00)""",114.599272727
A,3,"""[2016-10-15 08:40:00,2016-10-15 09:00:00)""",106.330727273
A,3,"""[2016-10-15 09:00:00,2016-10-15 09:20:00)""",130.846545455
A,3,"""[2016-10-15 09:20:00,2016-10-15 09:40:00)""",125.951818182
A,3,"""[2016-10-15 09:40:00,2016-10-15 10:00:00)""",121.058222222
A,3,"""[2016-10-16 08:00:00,2016-10-16 08:20:00)""",113.775636364
A,3,"""[2016-10-16 08:20:00,2016-10-16 08:40:00)""",112.758909091
A,3,"""[2016-10-16 08:40:00,2016-10-16 09:00:00)""",123.613090909
A,3,"""[2016-10-16 09:00:00,2016-10-16 09:20:00)""",123.748545455
A,3,"""[2016-10-16 09:20:00,2016-10-16 09:40:00)""",134.283454545
A,3,"""[2016-10-16 09:40:00,2016-10-16 10:00:00)""",123.690545455
A,3,"""[2016-10-17 08:00:00,2016-10-17 08:20:00)""",166.616545455
A,3,"""[2016-10-17 08:20:00,2016-10-17 08:40:00)""",148.042545455
A,3,"""[2016-10-17 08:40:00,2016-10-17 09:00:00)""",142.291272727
A,3,"""[2016-10-17 09:00:00,2016-10-17 09:20:00)""",167.449454545
A,3,"""[2016-10-17 09:20:00,2016-10-17 09:40:00)""",193.785090909
A,3,"""[2016-10-17 09:40:00,2016-10-17 10:00:00)""",142.641272727
B,1,"""[2016-10-11 08:00:00,2016-10-11 08:20:00)""",95.248
B,1,"""[2016-10-11 08:20:00,2016-10-11 08:40:00)""",115.211428571
B,1,"""[2016-10-11 08:40:00,2016-10-11 09:00:00)""",102.286428571
B,1,"""[2016-10-11 09:00:00,2016-10-11 09:20:00)""",135.043888889
B,1,"""[2016-10-11 09:20:00,2016-10-11 09:40:00)""",105.415333333
B,1,"""[2016-10-11 09:40:00,2016-10-11 10:00:00)""",113.531333333
B,1,"""[2016-10-12 08:00:00,2016-10-12 08:20:00)""",126.428571429
B,1,"""[2016-10-12 08:20:00,2016-10-12 08:40:00)""",96.78
B,1,"""[2016-10-12 08:40:00,2016-10-12 09:00:00)""",121.636111111
B,1,"""[2016-10-12 09:00:00,2016-10-12 09:20:00)""",109.1075
B,1,"""[2016-10-12 09:20:00,2016-10-12 09:40:00)""",120.614666667
B,1,"""[2016-10-12 09:40:00,2016-10-12 10:00:00)""",126.006666667
B,1,"""[2016-10-13 08:00:00,2016-10-13 08:20:00)""",107.238909091
B,1,"""[2016-10-13 08:20:00,2016-10-13 08:40:00)""",114.69
B,1,"""[2016-10-13 08:40:00,2016-10-13 09:00:00)""",112.319047619
B,1,"""[2016-10-13 09:00:00,2016-10-13 09:20:00)""",114.278545455
B,1,"""[2016-10-13 09:20:00,2016-10-13 09:40:00)""",102.990444444
B,1,"""[2016-10-13 09:40:00,2016-10-13 10:00:00)""",115.834545455
B,1,"""[2016-10-14 08:00:00,2016-10-14 08:20:00)""",144.500555556
B,1,"""[2016-10-14 08:20:00,2016-10-14 08:40:00)""",126.134285714
B,1,"""[2016-10-14 08:40:00,2016-10-14 09:00:00)""",105.675555556
B,1,"""[2016-10-14 09:00:00,2016-10-14 09:20:00)""",116.901666667
B,1,"""[2016-10-14 09:20:00,2016-10-14 09:40:00)""",78.7866666667
B,1,"""[2016-10-14 09:40:00,2016-10-14 10:00:00)""",115.136190476
B,1,"""[2016-10-15 08:00:00,2016-10-15 08:20:00)""",115.842545455
B,1,"""[2016-10-15 08:20:00,2016-10-15 08:40:00)""",108.245818182
B,1,"""[2016-10-15 08:40:00,2016-10-15 09:00:00)""",114.075636364
B,1,"""[2016-10-15 09:00:00,2016-10-15 09:20:00)""",126.6925
B,1,"""[2016-10-15 09:20:00,2016-10-15 09:40:00)""",133.824285714
B,1,"""[2016-10-15 09:40:00,2016-10-15 10:00:00)""",114.041428571
B,1,"""[2016-10-16 08:00:00,2016-10-16 08:20:00)""",115.827222222
B,1,"""[2016-10-16 08:20:00,2016-10-16 08:40:00)""",114.509444444
B,1,"""[2016-10-16 08:40:00,2016-10-16 09:00:00)""",94.7291666667
B,1,"""[2016-10-16 09:00:00,2016-10-16 09:20:00)""",128.056666667
B,1,"""[2016-10-16 09:20:00,2016-10-16 09:40:00)""",110.621111111
B,1,"""[2016-10-16 09:40:00,2016-10-16 10:00:00)""",92.9297777778
B,1,"""[2016-10-17 08:00:00,2016-10-17 08:20:00)""",104.106388889
B,1,"""[2016-10-17 08:20:00,2016-10-17 08:40:00)""",100.213571429
B,1,"""[2016-10-17 08:40:00,2016-10-17 09:00:00)""",111.352222222
B,1,"""[2016-10-17 09:00:00,2016-10-17 09:20:00)""",116.457777778
B,1,"""[2016-10-17 09:20:00,2016-10-17 09:40:00)""",98.1341666667
B,1,"""[2016-10-17 09:40:00,2016-10-17 10:00:00)""",114.304666667
B,3,"""[2016-10-11 08:00:00,2016-10-11 08:20:00)""",114.030181818
B,3,"""[2016-10-11 08:20:00,2016-10-11 08:40:00)""",114.719090909
B,3,"""[2016-10-11 08:40:00,2016-10-11 09:00:00)""",118.805272727
B,3,"""[2016-10-11 09:00:00,2016-10-11 09:20:00)""",136.239090909
B,3,"""[2016-10-11 09:20:00,2016-10-11 09:40:00)""",128.816388889
B,3,"""[2016-10-11 09:40:00,2016-10-11 10:00:00)""",117.97
B,3,"""[2016-10-12 08:00:00,2016-10-12 08:20:00)""",114.088
B,3,"""[2016-10-12 08:20:00,2016-10-12 08:40:00)""",111.509272727
B,3,"""[2016-10-12 08:40:00,2016-10-12 09:00:00)""",116.311090909
B,3,"""[2016-10-12 09:00:00,2016-10-12 09:20:00)""",135.845272727
B,3,"""[2016-10-12 09:20:00,2016-10-12 09:40:00)""",131.349636364
B,3,"""[2016-10-12 09:40:00,2016-10-12 10:00:00)""",115.731090909
B,3,"""[2016-10-13 08:00:00,2016-10-13 08:20:00)""",94.786
B,3,"""[2016-10-13 08:20:00,2016-10-13 08:40:00)""",121.202727273
B,3,"""[2016-10-13 08:40:00,2016-10-13 09:00:00)""",131.272727273
B,3,"""[2016-10-13 09:00:00,2016-10-13 09:20:00)""",168.396363636
B,3,"""[2016-10-13 09:20:00,2016-10-13 09:40:00)""",134.494222222
B,3,"""[2016-10-13 09:40:00,2016-10-13 10:00:00)""",123.475090909
B,3,"""[2016-10-14 08:00:00,2016-10-14 08:20:00)""",116.551454545
B,3,"""[2016-10-14 08:20:00,2016-10-14 08:40:00)""",126.839454545
B,3,"""[2016-10-14 08:40:00,2016-10-14 09:00:00)""",143.595090909
B,3,"""[2016-10-14 09:00:00,2016-10-14 09:20:00)""",142.696181818
B,3,"""[2016-10-14 09:20:00,2016-10-14 09:40:00)""",146.223111111
B,3,"""[2016-10-14 09:40:00,2016-10-14 10:00:00)""",118.708181818
B,3,"""[2016-10-15 08:00:00,2016-10-15 08:20:00)""",101.950181818
B,3,"""[2016-10-15 08:20:00,2016-10-15 08:40:00)""",112.578727273
B,3,"""[2016-10-15 08:40:00,2016-10-15 09:00:00)""",113.988363636
