intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",81.6
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",80.21
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",63.45
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",78.05
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",69.04
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",69.66
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",61.01
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",332.16
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",50.99
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",44.94
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0.0
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",23.3
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",116.07
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",125.1
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",88.42
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",71.47
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",116.58
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",88.66
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",75.53
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",77.43
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",70.94
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",69.42
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",78.81
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",61.73
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",60.65
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",89.38
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",115.88
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",109.43
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",187.89
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",151.75
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",63.52
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",62.11
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",71.68
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",60.73
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",66.59
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",83.74
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",197.96
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",199.17
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",122.65
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",81.54
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",70.12
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",72.36
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",137.38
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",165.48
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",136.68
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",192.68
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",159.78
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",129.28
